ref;value;Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Item count
B1,B2;CR2032;HOLDER BATT 2032;LINX;BAT-HLD-001-THM;0.27;Y;Mous 712-BAT-HLD-001-THM;Digi BAT-HLD-001-THM-ND;Thru Hole;2
C1;10 uF;CAP LYTIC RADIAL 10uF 20%;PANASONIC;ECEA1VKA100;0.11;DO NOT PLACE;Mous 667-ECE-A1VKA100;Digi P818-ND;35 Volt;1
C2;1 uF;CAP CER 0603 1uF 10% X7R ;MURATA;GRM188R71E105KA12;0.061;Y;TTI GRM188R71E105KA12;Digi 490-5307-1-ND;25 Volt;1
C3;4.7 uF;CAP CER 1206 4.7u 10% X7R;MURATA;GRM31CR71E475KA88L;0.11;Y;Mous 81-GRM31CR71E475KA88;Digi 490-1809-1-ND;25 Volt;1
C4;.01 uF;CAP CER 0603 .01 10% X7R;MURATA;GRM188R71C103KA01D;0.02;Y;Mous 81-GRM18R71C103KA01D;Digi 490-1525-1-ND;16 Volt;1
C5;4.7 uF;CAP CER 1206 4.7u 10% X7R;MURATA;GRM31CR71E475KA88L;0.11;Y;Mous 81-GRM31CR71E475KA88;Digi 490-1809-1-ND;25 Volt;1
C6;.01 uF;CAP CER 0603 .01 10% X7R;MURATA;GRM188R71C103KA01D;0.02;Y;Mous 81-GRM18R71C103KA01D;Digi 490-1525-1-ND;16 Volt;1
C7;4.7 uF;CAP CER 1206 4.7u 10% X7R;MURATA;GRM31CR71E475KA88L;0.11;Y;Mous 81-GRM31CR71E475KA88;Digi 490-1809-1-ND;25 Volt;1
C8;.1 uF;CAP CER 0603 .1 10% X7R;MURATA;GRM188R71H104KA93;0.07;Y;Mous 81-GRM188R71H104KA93;Digi 490-1519-1-ND;50 Volt;1
C9;1 uF;CAP CER 0603 1uF 10% X7R ;MURATA;GRM188R71E105KA12;0.061;Y;TTI GRM188R71E105KA12;Digi 490-5307-1-ND;25 Volt;1
C10;10 uF;CAP LYTIC RADIAL 10uF 20%;PANASONIC;ECEA1VKA100;0.11;Y;Mous 667-ECE-A1VKA100;Digi P818-ND;35 Volt;1
C11;1 uF;CAP CER 0603 1uF 10% X7R ;MURATA;GRM188R71E105KA12;0.061;Y;TTI GRM188R71E105KA12;Digi 490-5307-1-ND;25 Volt;1
C12,C13;18 pF;CAP CER 0603 18 5% NPO;MURATA;GRM1885C1H180JA01D;0.01;Y;Mous 81-GRM39C180J50;Digi 490-1409-1-ND;25 Volt;2
C14..C16;1 uF;CAP CER 0603 1uF 10% X7R ;MURATA;GRM188R71E105KA12;0.061;Y;TTI GRM188R71E105KA12;Digi 490-5307-1-ND;25 Volt;3
C17..C20;.1 uF;CAP CER 0603 .1 10% X7R;MURATA;GRM188R71H104KA93;0.07;Y;Mous 81-GRM188R71H104KA93;Digi 490-1519-1-ND;50 Volt;4
D2..D5;MBR0530;DIOD SCHTKY 20V;ON SEMI;MBR0530T1G;0.06;Y;NWK 83H7280;Mous 863-MBR0530T1G;;3
D6;S01575;DIODE SIG 75V SMD1206;BOURNS;CD1206-S01575;0.04;Y;Mous 652-CD1206-S01575;Digi CD1206-S01575CT-ND;;1
DS1;EA_DOGS102;LCD GRPHIC 102x64 WHT;ELECT ASSMBYS;DOGS102W-6;6.73;Y;Mous 790-EADOGS102W-6;;;1
F1;.5 A;FUSE POLY 1206 .5A 15V;Littelfuse;1206L050/15YR;0.21;Y;Mouser 576-1206L050/15YR;Digikey F3733CT-ND;;1
J1;POWER;SOCKET STRP .1 1X8;HARWIN;M20-7820842;0.55;DO NOT PLACE;Mous 855-M20-7820842;Digi 952-1823-ND;;1
J2;ANALOG;SOCKET STRP .1 1X6;HARWIN;M20-7820646;0.48;DO NOT PLACE;Mous 855-M20-7820646;Digi 952-1809-ND;;1
J3;DIGITAL_0;SOCKET STRP .1 1X8;HARWIN;M20-7820842;0.55;DO NOT PLACE;Mous 855-M20-7820842;Digi 952-1823-ND;;1
J4;DIGITAL_1;SOCKET STRP .1 1X10;HARWIN;M20-7821042;1.104;DO NOT PLACE;Mous 855-M20-7821042;Digi 952-1846-ND;;1
J5;EXT_POWER;JACK 2MM TAPER PIN;CUI;PJ-102A;0.45;DO NOT PLACE;Digi CP-102A-ND;FUTURE PJ-102A;Suffix H OK;1
J6;USB_IN;CONN USB MICRO B THM;TE;2040002-1;1.99;Y;Digi A108263CT-ND;;;1
MH1..MH4;TOOLING;TOOLING;P/O PCB;;;;;;;4
P2;ICSP;TEST PORT;P/O PCB;;;;;;;1
R2,R3;5V;VRSTR ESD 0603 LO-CAP;BOURNS;CG0603MLC-05E;0.09;Y;Mous 652-CG0603MLC-05E;Digi CG0603MLC-05ECT-ND;;2
R4,R5;22;RES CER 0603 22 5% 1/10;PANASONIC;ERJ-3GEYJ220V;0.003;Y;Mous 667-ERJ-3GEYJ220V;Digi P220GCT-ND;;2
R6;120;RES CER 0603 120 5% 1/10;PANASONIC;ERJ-3GEYJ121V;0.003;Y;Mous 667-ERJ-3GEYJ121V;Digi P120GCT-ND;;1
R7..R13;10K;RES CER 0603 10K 5% 1/10;PANASONIC;ERJ-3GEYJ103V;0.003;Y;Mous 667-ERJ-3GEYJ103V;Digi P10KGCT-ND;;7
R14;2.2K;RES CF AXIAL 2.2K 5% 1/8;STACKPOLE;CF18JT2K20;0.02;DO NOT PLACE;Digi CF18JT2K20CT-ND;;;1
R16;10K;RES CER 0603 10K 5% 1/10;PANASONIC;ERJ-3GEYJ103V;0.003;Y;Mous 667-ERJ-3GEYJ103V;Digi P10KGCT-ND;;1
S1;A;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;;1
S2;B;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;;1
S3;RST;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;;1
S4;UP;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;;1
S5;RGT;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;;1
S6;DWN;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;;1
S7;LFT;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;;1
U1;ATMEGA32U4;IC MICROP AVR;ATMEL;ATMEGA32U4-AU;3.96;Y;NEWARK 68T2838; Digi 535-11697-1-ND;;1
U2;5V;IC VREG LDO 5V SOT23;TI;LP2985-50DBVR;0.23;Y;Mous 595-LP2985-50DBVR;Digi 296-20717-1-ND;;1
U3;3.3V;IC VREG LDO 3.3V SOT23;TI;LP2985-33DBVR;0.28;Y;Mous 595-LP2985-33DBVR;Digi 296-18476-1-ND;;1
U4;MC14050;IC LVL SHFTR HEX SOIC;ON SEMI;MC14050BDR2G;0.15;Y;Mous 863-MC14050BDR2G;Digi MC14050BDR2GOSCT-ND;;1
Y1;8.000 MHz;XTAL 8 MHZ SMT;ABRACON;ABC2-8.000MHZ-4-T;1.13;Y;Mous 815-ABMM-16-B2-T;Digi 535-9155-1-ND;;1
Z1,Z2;300;IND FE 300 OHM;TDK;MMZ1608-B-301C;0.02;Y;Mous 810-MMZ1608B301C;Digi 445-2165-1-ND;;2
