ref;value;Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8
;;;;;;;;;
B1;CR2032;HOLDER BATT 2032;LINX;BAT-HLD-001-THM;0.27;Y;Mous 712-BAT-HLD-001-THM;Digi BAT-HLD-001-THM-ND;Thru Hole
B2;CR2032;HOLDER BATT 2032;LINX;BAT-HLD-001-THM;0.27;Y;Mous 712-BAT-HLD-001-THM;Digi BAT-HLD-001-THM-ND;Thru Hole
C1;10 uF;CAP LYTIC RADIAL 10uF 20%;PANASONIC;ECEA1VKS100;0.06;DO NOT PLACE;Mous 667-ECE-A1VKS100;Digi P980-ND;35 Volt
C10;10 uF;CAP LYTIC RADIAL 10uF 20%;PANASONIC;ECEA1VKS100;0.06;DO NOT PLACE;Mous 667-ECE-A1VKS100;Digi P980-ND;35 Volt
C2;1 uF;CAP CER 0603 1uF 10% X7R ;MURATA;GRM188R71E105KA12;0.061;Y;TTI GRM188R71E105KA12;Digi 490-5307-1-ND;25 Volt
C9;1 uF;CAP CER 0603 1uF 10% X7R ;MURATA;GRM188R71E105KA12;0.061;Y;TTI GRM188R71E105KA12;Digi 490-5307-1-ND;25 Volt
C11;1 uF;CAP CER 0603 1uF 10% X7R ;MURATA;GRM188R71E105KA12;0.061;Y;TTI GRM188R71E105KA12;Digi 490-5307-1-ND;25 Volt
C14;1 uF;CAP CER 0603 1uF 10% X7R ;MURATA;GRM188R71E105KA12;0.061;Y;TTI GRM188R71E105KA12;Digi 490-5307-1-ND;25 Volt
C15;1 uF;CAP CER 0603 1uF 10% X7R ;MURATA;GRM188R71E105KA12;0.061;Y;TTI GRM188R71E105KA12;Digi 490-5307-1-ND;25 Volt
C16;1 uF;CAP CER 0603 1uF 10% X7R ;MURATA;GRM188R71E105KA12;0.061;Y;TTI GRM188R71E105KA12;Digi 490-5307-1-ND;25 Volt
C3;4.7 uF;CAP CER 1206 4.7u 10% X7R;MURATA;GRM31CR71E475KA88L;0.11;Y;Mous 81-GRM31CR71E475KA88;Digi 490-1809-1-ND;25 Volt
C5;4.7 uF;CAP CER 1206 4.7u 10% X7R;MURATA;GRM31CR71E475KA88L;0.11;Y;Mous 81-GRM31CR71E475KA88;Digi 490-1809-1-ND;25 Volt
C7;4.7 uF;CAP CER 1206 4.7u 10% X7R;MURATA;GRM31CR71E475KA88L;0.11;Y;Mous 81-GRM31CR71E475KA88;Digi 490-1809-1-ND;25 Volt
C4;.01 uF;CAP CER 0603 .01 10% X7R;MURATA;GRM188R71C103KA01D;0.02;Y;Mous 81-GRM18R71C103KA01D;Digi 490-1525-1-ND;16 Volt
C6;.01 uF;CAP CER 0603 .01 10% X7R;MURATA;GRM188R71C103KA01D;0.02;Y;Mous 81-GRM18R71C103KA01D;Digi 490-1525-1-ND;16 Volt
C8;.1 uF;CAP CER 0603 .1 10% X7R;MURATA;GRM188R71H104KA93;0.07;Y;Mous 81-GRM188R71H104KA93;Digi 490-1519-1-ND;50 Volt
C17;.1 uF;CAP CER 0603 .1 10% X7R;MURATA;GRM188R71H104KA93;0.07;Y;Mous 81-GRM188R71H104KA93;Digi 490-1519-1-ND;50 Volt
C18;.1 uF;CAP CER 0603 .1 10% X7R;MURATA;GRM188R71H104KA93;0.07;Y;Mous 81-GRM188R71H104KA93;Digi 490-1519-1-ND;50 Volt
C19;.1 uF;CAP CER 0603 .1 10% X7R;MURATA;GRM188R71H104KA93;0.07;Y;Mous 81-GRM188R71H104KA93;Digi 490-1519-1-ND;50 Volt
C20;.1 uF;CAP CER 0603 .1 10% X7R;MURATA;GRM188R71H104KA93;0.07;Y;Mous 81-GRM188R71H104KA93;Digi 490-1519-1-ND;50 Volt
C12;18 pF;CAP CER 0603 18 5% NPO;MURATA;GRM1885C1H180JA01D;0.0103;Y;Mous 81-GRM39C180J50;Digi 490-1409-1-ND;25 Volt
C13;18 pF;CAP CER 0603 18 5% NPO;MURATA;GRM1885C1H180JA01D;0.0103;Y;Mous 81-GRM39C180J50;Digi 490-1409-1-ND;25 Volt
D2;MBR0530;DIOD SCHTKY 20V;ON SEMI;MBR0530T1G;0.06;Y;NWK 83H7280;Mous 863-MBR0530T1G;
D4;MBR0530;DIOD SCHTKY 20V;ON SEMI;MBR0530T1G;0.06;Y;NWK 83H7280;Mous 863-MBR0530T1G;
D5;MBR0530;DIOD SCHTKY 20V;ON SEMI;MBR0530T1G;0.06;Y;NWK 83H7280;Mous 863-MBR0530T1G;
D6;S01575;DIODE SIG 75V SMD1206;BOURNS;CD1206-S01575;0.04;Y;Mous 652-CD1206-S01575;Digi CD1206-S01575CT-ND;
DS1;EA_DOGS102;LCD GRPHIC 102x64 WHT;ELECT ASSMBYS;DOGS102W-6;6.73;Y;Mous 790-EADOGS102W-6;;
DS2;PARTY!;DIODE LED RED 1206 REV;KINGBRIGHT;APTR3216SURCK;0.09;Y;Digi 754-1173-1-ND;Mous 604-APTR3216SURCK;
F1;.5 A;FUSE POLY 1206 .5A 15V;Littelfuse;1206L050/15YR;0.21;Y;Mous 576-1206L050/15YR;Digi F3733CT-ND;
J1;POWER;SOCKET STRP .1 1X8;HARWIN;M20-7820842;0.55;DO NOT PLACE;Mous 855-M20-7820842;Digi 952-1823-ND;
J3;DIGITAL_0;SOCKET STRP .1 1X8;HARWIN;M20-7820842;0.55;DO NOT PLACE;Mous 855-M20-7820842;Digi 952-1823-ND;
J2;ANALOG;SOCKET STRP .1 1X6;HARWIN;M20-7820646;0.48;DO NOT PLACE;Mous 855-M20-7820646;Digi 952-1809-ND;
J4;DIGITAL_1;SOCKET STRP .1 1X10;HARWIN;M20-7821042;1.104;DO NOT PLACE;Mous 855-M20-7821042;Digi 952-1846-ND;
J5;EXT_POWER;JACK 2MM TAPER PIN;CUI;PJ-102A;0.45;DO NOT PLACE;Digi CP-102A-ND;FUTURE PJ-102A;Suffix H OK
J6;USB_IN;CONN USB MICRO B THM;TE CONN / AMP;2040002-1;1.29;Y;Digi A108263CT-ND;;
P2;ICSP;TEST PORT;P/O PCB;;;;;;
R1;1K;RES CER 0603 1K 5% 1/10;PANASONIC;ERJ3GEYJ102V;0.006;Y;Digi P1.0KGCT-ND;Mous 667-ERJ-3GEYJ102V;
R2;5V;VRSTR ESD 0603 LO-CAP;BOURNS;CG0603MLC-05E;0.09;Y;Mous 652-CG0603MLC-05E;Digi CG0603MLC-05ECT-ND;
R3;5V;VRSTR ESD 0603 LO-CAP;BOURNS;CG0603MLC-05E;0.09;Y;Mous 652-CG0603MLC-05E;Digi CG0603MLC-05ECT-ND;
R4;22;RES CER 0603 22 5% 1/10;PANASONIC;ERJ-3GEYJ220V;0.0026;Y;Mous 667-ERJ-3GEYJ220V;Digi P220GCT-ND;
R5;22;RES CER 0603 22 5% 1/10;PANASONIC;ERJ-3GEYJ220V;0.0026;Y;Mous 667-ERJ-3GEYJ220V;Digi P220GCT-ND;
R6;120;RES CER 0603 120 5% 1/10;PANASONIC;ERJ-3GEYJ121V;0.0026;Y;Mous 667-ERJ-3GEYJ121V;Digi P120GCT-ND;
R16;120;RES CER 0603 120 5% 1/10;PANASONIC;ERJ-3GEYJ121V;0.0026;Y;Mous 667-ERJ-3GEYJ121V;Digi P120GCT-ND;
R7;10K;RES CER 0603 10K 5% 1/10;PANASONIC;ERJ-3GEYJ103V;0.0026;Y;Mous 667-ERJ-3GEYJ103V;Digi P10KGCT-ND;
R8;10K;RES CER 0603 10K 5% 1/10;PANASONIC;ERJ-3GEYJ103V;0.0026;Y;Mous 667-ERJ-3GEYJ103V;Digi P10KGCT-ND;
R9;10K;RES CER 0603 10K 5% 1/10;PANASONIC;ERJ-3GEYJ103V;0.0026;Y;Mous 667-ERJ-3GEYJ103V;Digi P10KGCT-ND;
R10;10K;RES CER 0603 10K 5% 1/10;PANASONIC;ERJ-3GEYJ103V;0.0026;Y;Mous 667-ERJ-3GEYJ103V;Digi P10KGCT-ND;
R11;10K;RES CER 0603 10K 5% 1/10;PANASONIC;ERJ-3GEYJ103V;0.0026;Y;Mous 667-ERJ-3GEYJ103V;Digi P10KGCT-ND;
R12;10K;RES CER 0603 10K 5% 1/10;PANASONIC;ERJ-3GEYJ103V;0.0026;Y;Mous 667-ERJ-3GEYJ103V;Digi P10KGCT-ND;
R13;10K;RES CER 0603 10K 5% 1/10;PANASONIC;ERJ-3GEYJ103V;0.0026;Y;Mous 667-ERJ-3GEYJ103V;Digi P10KGCT-ND;
R14;2.2K;RES CF AXIAL 2.2K 5% 1/8;STACKPOLE;CF18JT2K20;0.02;Y;Digi CF18JT2K20CT-ND;;
S1;A;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;
S2;B;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;
S3;RST;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;
S4;UP;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;
S5;RGT;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;
S6;DWN;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;
S7;LFT;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;
U1;ATMEGA32U4;IC MICROP AVR;ATMEL;ATMEGA32U4-AU;3.96;Y;NEWARK 68T2838;Digi 535-11697-1-ND;
U2;5V;IC VREG LDO 5V SOT23;TI;LP2985-50DBVR;0.23;Y;Mous 595-LP2985-50DBVR;Digi 296-20717-1-ND;
U3;3.3V;IC VREG LDO 3.3V SOT23;TI;LP2985-33DBVR;0.28;Y;Mous 595-LP2985-33DBVR;Digi 296-18476-1-ND;
U4;MC14050;IC LVL SHFTR HEX SOIC;ON SEMI;MC14050BDR2G;0.15;Y;Mous 863-MC14050BDR2G;Digi MC14050BDR2GOSCT-ND;
Y1;8.000 MHz;XTAL 8 MHZ SMT;ABRACON;ABC2-8.000MHZ-4-T;1.13;Y;Mous 815-ABMM-16-B2-T;Digi 535-9155-1-ND;
Z1;300;IND FE 300 OHM;TDK;MMZ1608-B-301C;0.02;Y;Mous 810-MMZ1608B301C;Digi 445-2165-1-ND;
Z2;300;IND FE 300 OHM;TDK;MMZ1608-B-301C;0.02;Y;Mous 810-MMZ1608B301C;Digi 445-2165-1-ND;
